id,name,pred
000970.SZ,中科三环,6
000971.SZ,ST高升,2
000975.SZ,银泰黄金,6
000976.SZ,华铁股份,7
000980.SZ,众泰汽车,2
000982.SZ,中银绒业,5
000985.SZ,大庆华科,5
000989.SZ,九 芝 堂,7
000995.SZ,*ST皇台,7
000996.SZ,中国中期,2
000997.SZ,新 大 陆,7
001201.SZ,东瑞股份,2
001202.SZ,炬申股份,5
001205.SZ,盛航股份,5
001206.SZ,依依股份,5
001208.SZ,华菱线缆,7
001209.SZ,洪兴股份,7
001210.SZ,金房节能,7
001211.SZ,双枪科技,7
001213.SZ,中铁特货,7
001215.SZ,千味央厨,5
001216.SZ,华瓷股份,5
001217.SZ,华尔泰,6
001218.SZ,丽臣实业,5
001219.SZ,青岛食品,5
001222.SZ,源飞宠物,7
001223.SZ,欧克科技,4
001225.SZ,和泰机电,4
001226.SZ,拓山重工,6
001228.SZ,永泰运,4
001229.SZ,魅视科技,7
001230.SZ,劲旅环境,7
001231.SZ,农心科技,7
001234.SZ,泰慕士,7
001236.SZ,弘业期货,7
001238.SZ,浙江正特,7
001255.SZ,博菲电气,7
001256.SZ,炜冈科技,7
001258.SZ,立新能源,5
001259.SZ,利仁科技,7
001260.SZ,坤泰股份,7
001266.SZ,宏英智能,7
001267.SZ,汇绿生态,5
001268.SZ,联合精密,7
001269.SZ,欧晶科技,5
001270.SZ,铖昌科技,5
001278.SZ,一彬科技,7
001283.SZ,豪鹏科技,6
001286.SZ,陕西能源,7
001287.SZ,中电港,7
001288.SZ,运机集团,5
001296.SZ,长江材料,5
001298.SZ,好上好,6
001299.SZ,美能能源,7
001300.SZ,三柏硕,7
001301.SZ,尚太科技,7
001308.SZ,康冠科技,6
001309.SZ,德明利,7
001311.SZ,多利科技,6
001313.SZ,粤海饲料,7
001314.SZ,亿道信息,6
001316.SZ,润贝航科,7
001317.SZ,三羊马,7
001318.SZ,阳光乳业,7
001319.SZ,铭科精技,7
001322.SZ,箭牌家居,6
001323.SZ,慕思股份,7
001328.SZ,登康口腔,6
001330.SZ,博纳影业,7
001331.SZ,胜通能源,7
001332.SZ,锡装股份,5
001333.SZ,光华股份,7
001336.SZ,楚环科技,5
001337.SZ,四川黄金,5
001338.SZ,永顺泰,5
001339.SZ,智微智能,7
001360.SZ,南矿集团,5
001366.SZ,播恩集团,5
001367.SZ,海森药业,5
001368.SZ,通达创智,6
002001.SZ,新 和 成,7
002006.SZ,精工科技,6
002007.SZ,华兰生物,4
002012.SZ,凯恩股份,6
002014.SZ,永新股份,6
