X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
17,制造业,12.4928,0.550152756,5.553029823,25.698,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,59.5346
16,制造业,36.3905,0.550152756,5.553029823,15.1109,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
16,制造业,31.3864,3.33,14.1697,35.5837,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
16,电力、热力、燃气及水生产和供应业,-24.6975,0.155298824,3.065568235,25.9277,36.29213529,1.652371765,27.59894941,0.507624706,0.215131765,0.458296471,0.783194048,50.8762
19,电力、热力、燃气及水生产和供应业,8.9566,0.54,11.4592,40.7976,36.29213529,1.652371765,27.59894941,0.507624706,0.215131765,0.458296471,0.783194048,55.3024
19,金融业,24.8818,0.35,4.2548,3.448749091,78.9717,4.7555,4.877415455,0.083532727,0.044989091,0.082946364,-43.9744,27.84231273
17,制造业,14.9866,0.550152756,5.553029823,68.9505,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
15,制造业,19.6868,1.15,21.1184,33.6515,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,54.7568
17,制造业,13.402,0.57,9.0127,11.2799,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,52.1296
19,采矿业,12.5154,0.76,25.0561,15.9899,59.3342,2.4591,39.1929,1.1191,0.356,0.7242,26.3656,42.4837
19,电力、热力、燃气及水生产和供应业,-7.8318,-0.61,-6.9106,-3.0672,74.8224,3.9718,45.5599,0.5062,0.1002,0.432,18.7775,54.9084
16,制造业,13.3372,0.550152756,5.553029823,49.275,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
