X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
000767.SZ,晋控电力,18,电力、热力、燃气及水生产和供应业,592.8841,-0.2561,-6.8543,12.5391,0,0,0,0,0,0,0,50.5919
000789.SZ,万年青,18,制造业,6.6052,0.4867,5.4018,22.5603,42.5966,1.7421,63.7048,1.6334,0.9025,1.4730,-74.6920,61.5927
000828.SZ,东莞控股,18,交通运输、仓储和邮政业,10.8769,0,0,23.3250,0,0,0,0,0,0,0,57.8388
000839.SZ,ST国安,18,信息传输、软件和信息技术服务业,-6.8153,0,0,14.5842,0,0,0,0,0,0,0,47.8178
000860.SZ,顺鑫农业,18,制造业,-91.4190,-0.9076,-9.0686,31.0381,65.0214,2.8589,78.5460,1.4678,0.8281,0.9110,-754.6493,37.0198
000878.SZ,云南铜业,18,制造业,14.6309,1.0348,16.0997,5.1210,59.8381,2.4899,60.9242,1.5582,0.3700,0.8495,105.0031,89.0428
000881.SZ,中广核技,18,制造业,39.7499,0,0,15.3303,0,0,0,0,0,0,0,54.4272
000885.SZ,城发环境,18,交通运输、仓储和邮政业,5.8631,1.6450,17.4138,37.6836,70.9152,3.4382,32.5759,0.7452,0.2432,0.7343,14.5577,54.4816
000887.SZ,中鼎股份,18,制造业,21.2285,0,0,20.6948,0,0,0,0,0,0,0,44.8229
000888.SZ,峨眉山A,18,水利、环境和公共设施管理业,-46.6077,0,0,9.7104,0,0,0,0,0,0,0,71.5804
000900.SZ,现代投资,18,交通运输、仓储和邮政业,13.2724,0.2700,3.8011,15.2642,76.2431,4.2093,46.1490,0.4875,0.2924,0.4743,-23.5845,46.4355
000905.SZ,厦门港务,18,交通运输、仓储和邮政业,21.9890,0.3708,5.8185,2.7660,48.6828,1.9487,81.9355,1.0439,0.1254,0.5699,12.5154,99.0211
000906.SZ,浙商中拓,18,批发和零售业,6.9801,1.3900,20.4566,1.5368,70.2117,3.3570,98.1569,1.3188,0.3175,1.0268,27.8313,53.9208
000917.SZ,电广传媒,18,信息传输、软件和信息技术服务业,-154.4870,0,0,23.8295,0,0,0,0,0,0,0,55.5097
000928.SZ,中钢国际,18,建筑业,13.7380,0.4850,9.7874,8.5634,0,0,0,0,0,0,0,42.1059
000937.SZ,冀中能源,18,采矿业,4.1949,1.2577,21.2008,33.7310,0,0,0,0,0,0,0,40.3528
000960.SZ,锡业股份,18,制造业,9.8054,0.8180,8.4383,12.8966,52.7630,2.1170,50.1912,1.1470,0.2469,0.5356,-48.3207,54.7430
000961.SZ,中南建设,18,房地产业,-1.0231,0,0,1.1817,0,0,0,0,0,0,0,52.8454
000963.SZ,华东医药,18,批发和零售业,34.3789,1.4283,14.2173,31.1018,38.5217,1.6266,84.4958,1.7303,0.3936,1.2876,8.2954,56.5695
000966.SZ,长源电力,18,电力、热力、燃气及水生产和供应业,-275.0394,0.0447,1.2901,2.7288,0,0,0,0,0,0,0,65.7363
